Sector,Stage,Amount($),HeadQuarter,Founded,isSuccessFull
"E-Commerce, Fashion, Shopping",Seed,125171163.09181623,New Delhi,2016,0
"Digital Entertainment, Mobile, PC Games",Series B,3530000.0,Bangalore,2016,0
"Finance, Financial Services, Small and Medium Businesses",Debt Financing,8640000.0,Gurgaon,2016,0
Mobile Payments,Seed,200000.0,Chennai,2016,0
"Artificial Intelligence, Energy, Oil and Gas",Series A,3300000.0,Chennai,2016,0
"Computer, FinTech, Risk Management, Software",Series A,28800000.0,Bangalore,2016,0
"Apps, Financial Services, FinTech",Seed,1000000.0,Mumbai,2016,0
"Child Care, Health Care, Hospital, Medical, Women's",Private Equity,125171163.09181623,Bangalore,2016,0
"Agriculture, Mobile",Series B,69600000.0,Bengaluru,2016,0
"Finance, FinTech, Payments, Property Development, Rental",Series Unknown,125171163.09181623,Ahmedabad,2016,0
"Information Services, Information Technology, Mobile, Software",Debt Financing,2000000.0,Delhi,2016,0
Education,Seed,100000.0,New Delhi,2016,0
"Apps, Fitness, Health Care, mHealth",Series B,6000000.0,Bangalore,2016,0
"Food and Beverage, Food Delivery",Seed,4320000.0,Gurgaon,2016,0
"Apps, Payments, Retail",Series A,40800000.0,Bangalore,2016,0
"Health Insurance, Insurance, Life Insurance",Corporate Round,210000000.0,Kalpakkam,2016,0
Automotive,Angel,4200000.0,Bangalore,2016,0
"Rental, Taxi Service, Travel",Series Unknown,8400000.0,Bengaluru,2016,0
"E-Commerce, E-Commerce Platforms, Internet, Retail",Series A,11000000.0,Gurgaon,2016,0
"Financial Services, Professional Services",Secondary Market,125171163.09181623,Mumbai,2016,0
Health Diagnostics,Seed,6000000.0,Jaipur,2016,0
"Customer Service, Messaging, Mobile Apps, Personalization",Debt Financing,8400000.0,Bangalore,2016,0
"Gaming, iOS, Sports",Series A,5000000.0,Bengaluru,2016,0
Retail,Series Unknown,37680000.0,Gurgaon,2016,0
—,Seed,125171163.09181623,Bengaluru,2016,0
"E-Commerce, E-Commerce Platforms, Internet, Mobile Apps, Social Media",Series C,50000000.0,Bangalore,2016,0
Search Engine,Seed,1000000.0,Bhopal,2016,0
"Battery, Electric Vehicle, Energy, Renewable Energy, Transportation",Seed,250000.0,Coimbatore,2016,0
"Agriculture, Farmers Market, Farming",Series A,125171163.09181623,Bengaluru,2016,0
"Artificial Intelligence, Drones, Navigation, Packaging Services, Robotics",Pre-Seed,20000.0,Bhopal,2016,0
Fashion,Angel,900000.0,Bangalore,2016,0
"Fitness, GreenTech, Internet of Things, Mobile Apps, Ride Sharing, Transportation",Angel,125171163.09181623,Gurgaon,2016,0
"Mobile, Software, Travel",Undisclosed,144000.0,Bangalore,2016,0
Cosmetics,Seed,125171163.09181623,Worli,2016,0
"Consulting, Cyber Security, Network Security",Series Unknown,5000000.0,New Delhi,2016,0
"E-Learning, EdTech, Education",Seed,125171163.09181623,Delhi,2016,0
"eSports, Gaming, Video Games",Series A,4800000.0,New Delhi,2016,0
"Fashion, Jewelry",Series Unknown,61200000.0,Mumbai,2016,0
Financial Services,Seed,264000000.0,Gurgaon,2016,1
"B2B, Medical Device",Series A,5000000.0,Mumbai,2016,0
"Credit, Financial Services, FinTech, Lending",Seed,1000000.0,Bangalore,2016,0
"Consumer Goods, Manufacturing",Private Equity,22000000.0,Alleppey,2016,0
"Biotechnology, Health Care, Wellness",Seed,125171163.09181623,New Delhi,2016,0
"Health Care, Hospital, Medical, Robotics",Seed,70000.0,Gurgaon,2016,0
Health Care,Seed,125171163.09181623,Haryana,2016,0
"E-Commerce, Fitness, Health Care",Series Unknown,10000000.0,Gurgaon,2016,0
"Financial Services, Venture Capital",Post-IPO Equity,1847040000.0,Mumbai,2016,0
Aerospace,Private Equity,2400000000.0,Haryana,2016,0
"Accounting, Apps, FinTech",Series B,480000000.0,New Delhi,2016,0
"Apps, Mobile, Transportation",Debt Financing,1000000.0,Gurgaon,2016,0
Reading Apps,Seed,3000000.0,New Delhi,2016,0
"Energy, Renewable Energy, Solar",Post-IPO Equity,185000000.0,New Delhi,2016,0
"Banking, Financial Services, FinTech",Series A,16800000.0,Mumbai,2016,0
"Health Care, Hospital",Series Unknown,125171163.09181623,Chandigarh,2016,0
Biotechnology,Angel,125171163.09181623,Bangalore,2016,0
Financial Services,Seed,125171163.09181623,Mumbai,2016,0
"Apps, Education, Retail",Seed,125171163.09181623,Mumbai,2016,0
Electric Vehicle,Seed,125171163.09181623,Hyderabad,2016,0
"Agriculture, Farming",Seed,125171163.09181623,Mumbai,2016,0
"Fitness, Health Care, Wellness",Seed,1000000.0,New Delhi,2016,0
"Automotive, Battery, Electric Vehicle, Manufacturing, Mechanical Design",Corporate Round,65000000.0,Haryana,2016,0
"Automotive, E-Commerce, Marketplace",Series A,2000000.0,Mumbai,2016,0
Agriculture,Seed,125171163.09181623,Kochi,2016,0
Information Technology,Series A,19800000.0,Bangalore,2016,0
"Apps, Information Services, Information Technology",Series A,78000000.0,Bengaluru,2016,0
Artificial Intelligence,Seed,125171163.09181623,Bengaluru,2016,0
"B2B, Marketplace",Angel,700000.0,Bengaluru,2016,0
Financial Services,Series Unknown,30000000.0,Guindy,2016,0
Packaging Services,Private Equity,125171163.09181623,Bangalore,2016,0
"Computer, Furniture, Software",Series Unknown,25200000.0,Bangalore,2016,0
"Food Delivery, Hospitality, Reservations, Restaurants, Search Engine",Secondary Market,210000000.0,Gurgaon,2016,0
"Collaboration, Communities, Coworking, Real Estate",Seed,4000000.0,New Delhi,2016,0
"Accounting, Banking, Finance",Seed,125171163.09181623,Delhi,2016,0
"Cloud Computing, Enterprise Software, Network Hardware, Network Security, SaaS",Series Unknown,2400000.0,Bengaluru,2016,0
"Information Services, Internet, Logistics, Supply Chain Management, Transportation",Series D,243552000.0,Bengaluru,2016,0
"Automotive, E-Commerce, Information Services",Series C,75000000.0,Gurgaon,2016,0
"Delivery, Logistics, Transportation",Series B,72000000.0,Pune,2016,0
"Automotive, E-Commerce Platforms, Marketplace",Series E,30000000.0,Gurgaon,2016,0
"Last Mile Transportation, Railroad, Transportation, Travel",Debt Financing,9600000.0,Kormangala,2016,0
"Cooking, E-Commerce, Food and Beverage, Food Delivery, Online Portals",Series Unknown,1760000.0,Gurgaon,2016,0
"FinTech, Mobile, Mobile Payments, Payments, Retail Technology",Corporate Round,2700000.0,Mumbai,2016,0
"E-Learning, Education",Debt Financing,400000.0,Chennai,2016,0
"Online Games, Software",Series A,33600000.0,Delhi,2016,0
—,Series Unknown,96000000.0,Gurgaon,2016,0
"Online Portals, Property Management, Rental",Seed,750000.0,Bangalore,2016,0
"E-Commerce, Food and Beverage, Tea",Series B,2500000.0,New Delhi,2016,0
"Music, Social Network, Video",Series Unknown,125171163.09181623,New Delhi,2016,0
Automotive,Angel,125171163.09181623,Mumbai,2016,0
"Health Care, Pharmaceutical, Wellness",Series C,80000000.0,Mumbai,2016,0
"Delivery Service, Food and Beverage, Food Delivery",Series C,25000000.0,Bengaluru,2016,0
"Hospitality, Information Technology, Travel Accommodations",Series Unknown,87600000.0,New Delhi,2016,0
"Biotechnology, Diabetes, Health Care",Seed,125171163.09181623,Hyderabad,2016,0
"Autonomous Vehicles, Last Mile Transportation, Recreational Vehicles, Rental",Debt Financing,3000000.0,Bangalore,2016,0
Information Technology,Corporate Round,125171163.09181623,New Delhi,2016,0
Financial Services,Seed,3500000.0,Delhi,2016,0
"Finance, Financial Exchanges, Financial Services, Micro Lending",Series Unknown,48000000.0,New Delhi,2016,0
"Finance, Financial Services",Series C,72000000.0,Haryana,2016,0
"Analytics, Apps, Market Research",Seed,1100000.0,Kolkata,2016,0
—,Series Unknown,3700000.0,Mumbai,2016,0
—,Corporate Round,1300000.0,Mumbai,2016,0
"Finance, Financial Services",Series Unknown,16800000.0,Bangalore,2016,0
"E-Commerce, E-Commerce Platforms, Furniture, Home Decor, Internet",Debt Financing,5600000.0,Bangalore,2016,0
—,Corporate Round,31200000.0,Bengaluru,2016,0
"Apps, Mobile, Mobile Apps, Software",Series A,125171163.09181623,Bengaluru,2016,0
—,Series A,18000000.0,Ahmedabad,2016,0
"News, Publishing, Social Media",Seed,125171163.09181623,Lucknow,2016,0
—,Series Unknown,125171163.09181623,Gurgaon,2016,0
"Industrial, Industrial Automation",Seed,1440000.0,Haryana,2016,0
"Internet, Mobile Apps, Social Network",Series C,99230000.0,Bangalore,2016,0
"Health Care, Health Diagnostics, Internet of Things, Life Science, Machine Learning, Medical, Medical Device",Seed,1000000.0,Bangalore,2016,0
"E-Commerce, Furniture, Interior Design",Series C,70000000.0,Bangalore,2016,0
"Apps, Events, News",Seed,1000000.0,Gurgaon,2016,0
"Artificial Intelligence, Human Resources, Information Services, Information Technology",Seed,2000000.0,Gurgaon,2016,0
"Health Care, Hospital, Supply Chain Management",Corporate Round,125171163.09181623,New Delhi,2016,0
"Logistics, Railroad, Transportation",Series Unknown,48000000.0,New Delhi,2016,0
"Dating, Private Social Networking",Non-equity Assistance,40000.0,Bangalore City,2016,0
"Artificial Intelligence, Machine Learning, PaaS",Seed,550000.0,Bangalore,2016,0
"Consumer, Furniture, Home Decor, Home Improvement",Series C,125171163.09181623,Bangalore,2016,0
"Apps, E-Commerce, Internet, Mobile, Ride Sharing, Transportation",Series Unknown,50000000.0,Kormangala,2016,0
"Health Care, Health Insurance",Funding Round,50000000.0,Haryana,2016,0
"Energy, Natural Resources",Private Equity,365000000.0,Mumbai,2016,0
"E-Commerce, Education, Health Care",Seed,125171163.09181623,Noida,2016,0
"Apps, Health Care, Pharmaceutical",Series Unknown,1050000.0,Bangalore,2016,0
"Internet, Knowledge Management",Series A,1500000.0,Bengaluru,2016,0
"Credit, Finance, FinTech, Lending, Sales Automation",Series C,30000000.0,Mumbai,2016,0
"Banking, Financial Services, Internet",Series A,5000000.0,Mumbai,2016,0
"Financial Services, FinTech",Seed,9360000.0,Pune,2016,0
"E-Commerce, Health Care, Retail",Series A,4000000.0,Gurgaon,2016,0
"Child Care, Information Technology",Series B,125171163.09181623,Mumbai,2016,0
"Financial Services, Micro Lending",Series Unknown,28000000.0,Chennai,2016,0
"E-Commerce, Retail, Shopping",Series Unknown,15000000.0,Mumbai,2016,0
Food and Beverage,Seed,125171163.09181623,Pune,2016,0
E-Learning,Series A,5000000.0,Bangalore,2016,0
"Food and Beverage, Snack Food, Tea",Seed,1500000.0,Mumbai,2016,0
"Delivery Service, E-Commerce, Logistics",Angel,125171163.09181623,New Delhi,2016,0
"Fashion, Lifestyle, Rental",Series B,31680000.0,Mumbai,2016,0
—,Pre-Seed,125171163.09181623,Bengaluru,2016,0
"Fantasy Sports, Mobile, Sports",Series D,100000000.0,Mumbai,2016,0
Education,Seed,125171163.09181623,Jaipur,2016,0
"Beauty, Fashion, Wellness",Secondary Market,135600000.0,Mumbai,2016,0
"Food and Beverage, Restaurants, Tea",Series B,97200000.0,New Delhi,2016,0
"Fitness, Sporting Goods, Sports",Seed,125171163.09181623,Pune,2016,0
"Food and Beverage, Food Processing, Manufacturing",Post-IPO Equity,168000000.0,New Delhi,2016,0
"E-Learning, Internet",Seed,1200000.0,Bengaluru,2016,0
"Eyewear, Internet",Series Unknown,125171163.09181623,Ghaziabad,2016,0
"Information Technology, Mobile, News, Operating Systems, Social Media, Social News",Series E,6000000.0,Bangalore,2016,0
"FinTech, Internet, Payments, Service Industry",Series A,14900000.0,Bengaluru,2016,0
"B2B, Business Development, Internet, Marketplace",Series C,225000000.0,Bangalore,2016,0
"Tourism, Travel",Series A,125171163.09181623,Haryana,2016,0
"Food and Beverage, Food Delivery, Internet",Seed,7500.0,Mumbai,2016,0
Information Technology,Seed,4200000.0,Mumbai,2016,0
"Biotechnology, Health Care, Pharmaceutical",Series C,35000000.0,Chennai,2016,0
E-commerce,Seed,6300000.0,Bangalore,2016,0
Edtech,Series C,150000000.0,Mumbai,2014,1
Edtech,Fresh funding,28000000.0,Mumbai,2016,0
Interior design,Series D,30000000.0,Chennai,2014,0
AgriTech,Seed,6000000.0,Telangana,2004,0
Technology,Seed,125171163.09181623,Pune,2016,0
SaaS,Seed,125171163.09181623,Bangalore,2016,0
Technology,Pre-Series A,1000000.0,Noida,2013,0
AI & Tech,Series A,20000000.0,Bangalore,2016,0
E-commerce,Series G,275000000.0,Delhi,2010,1
E-commerce & AR,Seed,125171163.09181623,Mumbai,2010,0
SaaS,Seed,22000000.0,Bangalore,2016,0
Fintech,Series A,5000000.0,Chennai,2018,0
HR tech,Seed,140500.0,Ahmedabad,2019,0
Food tech,Seed,125171163.09181623,Bangalore,2016,0
Fintech,Seed,5000000.0,Delhi,2017,0
Edtech,Seed,540000000.0,Bangalore,2011,1
Fintech,Series B,15000000.0,Bangalore,2015,0
Edtech,Seed,182700.0,Bangalore,2014,0
Health,Pre-Series A,125171163.09181623,Gurugram,2018,0
Fintech,Seed,5000000.0,Bangalore,2015,0
Healthcare,Series B,12000000.0,Bangalore,2018,0
Edtech,Post-Series A,11000000.0,Bangalore,2013,0
Safety tech,Seed,125171163.09181623,Delhi,2018,0
Pharmaceutical,Seed,15500000.0,Bangalore,2014,0
SaaS,Seed,1500000.0,Delhi,2019,0
Insurance technology,Series A,5500000.0,Haryana,2017,0
AI,Seed,5000000.0,Bangalore,2016,0
Foodtech,Series C,12000000.0,Bangalore,2015,0
AgriTech,Seed,2500000.0,Bangalore,2019,0
Food,Series E,30000000.0,Bangalore,2016,0
IoT,Seed,140000.0,Bangalore,2016,0
E-marketplace,Seed,125171163.09181623,Chandigarh,2014,0
Robotics & AI,Seed,230000000.0,Bangalore,2011,0
Logistics,Series F,20000000.0,Bangalore,2014,0
Travel,Series B,49400000.0,Gurugram,2017,0
Manufacturing,Series B,32000000.0,Bangalore,2018,0
AI,Series A,26000000.0,Bangalore,2016,0
E-marketplace,Pre-Series A,150000.0,Jaipur,2016,0
Food & Nutrition,Seed,400000.0,Bangalore,2016,0
Social Media,Pre-Series A,2000000.0,Bangalore,2016,0
FinTech,Seed,100000000.0,Bangalore,2016,0
E-commerce,Seed,8000000.0,Mumbai,2012,0
SaaS,Seed,1500000.0,Bangalore,2016,0
E-Sports,Seed,100000.0,Bangalore,2016,0
Fintech,Seed,125171163.09181623,Noida,2016,0
Technology,Pre-Series A,50000000.0,Noida,2016,0
AgriTech,Series A,6000000.0,Pune,2016,0
Foodtech,Seed,120000000.0,Mumbai,2011,0
FinTech,Series A,4000000.0,Bangalore,2016,0
Cosmetics,Series C,30000000.0,Mumbai,2012,0
B2B,Series A,4000000.0,Mumbai,2017,0
FinTech,Pre-Series A,1500000.0,Bangalore,2016,0
Jewellery,Pre-Series A,1000000.0,Mumbai,2015,0
B2B Supply Chain,Seed,125171163.09181623,Bangalore,2015,0
Games,Seed,125171163.09181623,Mumbai,2014,0
FinTech,Series B,26000000.0,Bangalore,2016,0
FinTech,Series A,5500000.0,Mumbai,2016,0
AgriTech,Seed,6800000.0,Gurugram,2010,0
Food & tech,Seed,6000000.0,Delhi,2016,0
Logistics,Seed,36000000.0,Gurugram,2012,0
Accomodation,Seed,5700000.0,Delhi,2017,0
Automotive tech,Seed,50000000.0,Chennai,2016,0
Automotive tech,Seed,2000000.0,Delhi,2016,0
E-commerce,Series B,5000000.0,New Delhi,2016,0
IoT,Series B,125171163.09181623,Bangalore,2013,0
Legal tech,Seed,100000.0,Delhi,2015,0
Edtech,Seed,5500000.0,Bangalore,2013,0
Food,Series D,25000000.0,Bangalore,2015,0
Mutual Funds,Seed,600000.0,Noida,2016,0
Cybersecurity,Seed,4000000.0,Bangalore,2015,0
Edtech,Seed,1500000.0,Surat,2016,0
Automobile,Series D,70000000.0,Jaipur,2008,0
Logistics,Series D,60000000.0,Bangalore,2015,0
Automobile,Seed,6000000.0,Mumbai,2014,0
Sports,Series B,125171163.09181623,Noida,2015,0
Healthtech,Seed,220000.0,Bangalore,2018,0
Yoga & wellness,Seed,2800000.0,Chennai,2016,0
Virtual Banking,Series A,2100000.0,Bangalore,2019,0
Accomodation,Seed,7000000.0,Bangalore,2015,0
Transportation,Seed,311000000.0,Bangalore,2010,0
Transport & Rentals,Seed,4800000.0,Bangalore,2013,0
Technology,Pre-Series A,1000000.0,Uttar pradesh,2016,0
Marketing & Customer loyalty,Pre-Series A,1000000.0,Hyderabad,2016,0
Infratech,Series A,20000000.0,Mumbai,2016,0
Hospitality,Seed,693000000.0,Gurugram,2013,0
Automobile & Technology,Series B,5000000.0,Delhi,2016,0
Automobile,Seed,50000000.0,Delhi,2015,0
Banking,Seed,33000000.0,Rajasthan,2016,0
AgriTech,Seed,200000.0,Chennai,2019,0
EdTech,Pre-Seed,100000.0,Bangalore,2019,0
Hygiene management,Pre-Seed,125171163.09181623,Pune,2018,0
Escrow,Seed,400000.0,New Delhi,2020,0
AgriTech,Seed,340000.0,Indore,2016,0
AgriTech,Seed,600000.0,Bangalore,2019,0
EdTech,Pre-Series A,600000.0,Hyderabad,2008,0
Networking platform,Pre-Series,125171163.09181623,Gurgaon,2018,0
FinTech,Series C,45000000.0,Bangalore,2015,0
Crowdsourcing,Pre-Series A,1000000.0,Pune,2017,0
Food & Bevarages,Series A,2000000.0,Gurgaon,2016,0
HealthTech,Series A,125171163.09181623,Bangalore,2017,0
Fashion startup,Seed,125171163.09181623,New Delhi,2015,0
Food & Bevarages,Seed,1200000.0,New Delhi,2014,0
Food Industry,Seed,600000.0,Belgaum,2015,0
Food Delivery,Seed,660000000.0,Gurgaon,2008,0
Virtual auditing startup,Seed,120000.0,Bangalore,2020,0
E-commerce,Series C,7500000.0,New Delhi,2017,0
FinTech,Seed,125171163.09181623,Noida,1998,0
FinTech,Seed,1000000.0,New Delhi,2019,0
Gaming,Pre-Series A,125171163.09181623,Bangalore,2019,0
FinTech,Seed,5000000.0,Hyderabad,2016,0
FinTech,Seed,1000000.0,Mumbai,2019,0
Work fulfillment,Seed,500000.0,Bangalore,2016,0
FinTech,Seed,3000000.0,Gurgaon,2018,0
FinTech,Series B,10000000.0,Mumbai,2017,0
AI startup,Seed,145000000.0,Bangalore,2016,0
Telecommunication,Seed,100000000.0,Bangalore,2007,0
Food Industry,Pre-Seed,125171163.09181623,Bangalore,2020,0
E-commerce,Seed,125171163.09181623,Gurgaon,2011,0
AgriTech,Series B,21000000.0,Noida,1982,0
Logistics,Seed,4000000.0,New Delhi,2015,0
FinTech,Seed,20000000.0,Andheri,2015,0
EdTech,Pre-Series A,1000000.0,Bangalore,2018,0
Tech Startup,Seed,560000.0,Mumbai,2016,0
Sports,Pre-Series A,125171163.09181623,New Delhi,2016,0
E-commerce,Seed,400000.0,Chennai,2013,0
E-commerce,Seed,275000.0,Gurgaon,2019,0
Retail,Series B,20000000.0,Bangalore,2016,0
Medtech,Seed,1000000.0,Hyderabad,2008,0
Tyre management,Seed,125171163.09181623,Jaipur,2016,0
FinTech,Seed,4500000.0,Gurgaon,2017,0
Cloud company,Seed,5000000.0,Bangalore,2011,0
Software company,Series A,15000000.0,Bangalore,2019,0
Venture capitalist,Seed,125171163.09181623,Bangalore,2020,0
Renewable player,Seed,390000000.0,Bangalore,2017,0
FinTech,Seed,7000000.0,Bangalore,2015,0
EdTech,Seed,125171163.09181623,Noida,2020,0
IoT startup,Series B,5100000.0,Pune,2015,0
SaaS startup,Pre-Series A,500000.0,Bangalore,2016,0
FinTech,Seed,700000000.0,New Delhi,2015,1
HealthTech,Seed,2300000.0,Pune,2017,0
HealthTech,Pre-Seed,125171163.09181623,Mumbai,2020,0
Aero company,Seed,125171163.09181623,Chennai,2016,0
Marketing company,Seed,700000.0,Mumbai,2019,0
Retail startup,Seed,500000.0,New Delhi,2019,0
FinTech,Seed,7000000.0,Gurgaon,2009,0
EdTech,Seed,100000.0,Pune,2020,0
Co-working Startup,Seed,1000000.0,Bangalore,2014,0
Logistics,Seed,19000000.0,Gurgaon,2014,0
Finance company,Seed,3000000.0,New Delhi,2015,0
FinTech,Seed,125171163.09181623,Pune,2014,0
AgriTech,Seed,125171163.09181623,Bangalore,2019,0
Tech company,Seed,125171163.09181623,Bangalore,2017,0
Solar Monitoring Company,Seed,125171163.09181623,Ahmedabad,2016,0
SaaS startup,Seed,125171163.09181623,Mumbai,2019,0
Video sharing platform,Seed,400000.0,Gurgaon,2019,0
Gaming startup,Seed,1000000.0,Bangalore,2017,0
E-commerce,Seed,125171163.09181623,Bangalore,2015,0
Video streaming platform,Seed,125171163.09181623,Mumbai,2020,0
Consumer appliances,Series B,9000000.0,Mumbai,2012,0
E-commerce,Series C,21000000.0,Jaipur,2018,0
FinTech,Seed,125171163.09181623,Bangalore,2015,0
EdTech,Series C,40000000.0,Bangalore,2011,0
Gaming startup,Seed,125171163.09181623,Ahmedabad,2018,0
HealthTech,Pre-Series A,1200000.0,Bangalore,2014,0
Blockchain startup,Seed,750000.0,Mumbai,2020,0
Conversational AI platform,Series A,1500000.0,Kolkata,2016,0
E-commerce,Seed,500000.0,"Tirunelveli, Tamilnadu",2019,0
AgriTech,Debt Financing,7800000.0,Chennai,2015,0
Real Estate,Series B,20000000.0,Thane,2016,0
Venture capitalist,Seed,50000000.0,Noida,1995,0
E-commerce,Pre-Series C,4000000.0,Noida,2013,0
EdTech,Seed,560000.0,Bangalore,2020,0
Finance company,Series C,80000000.0,Bangalore,2018,0
Finance company,Seed,30000000.0,Bangalore,2010,0
SaaS platform,Seed,1700000.0,Bangalore,2020,0
EdTech,Seed,600000.0,Bangalore,2016,0
SaaS platform,Seed,600000.0,Mumbai,2020,0
AI platform,Seed,3000000.0,Bangalore,2015,0
EdTech,Seed,125171163.09181623,Bangalore,2013,0
EdTech,Seed,2500000.0,Singapore,2020,0
Fusion beverages,Pre-Series A,1000000.0,Bangalore,2019,0
HR Tech,Pre-Seed,40000.0,Gurugram,2019,0
Gaming,Series B,500000.0,Bangalore,2018,0
Job portal,Seed,33000000.0,Bangalore,2020,0
Hospitality,Seed,125171163.09181623,Kolkata,2017,0
Job portal,Pre-Series B,125171163.09181623,Bangalore,2016,0
Digital Media,Seed,1500000.0,Gujarat,2018,0
FinTech,Series B,35000000.0,Bangalore,2015,0
FinTech,Pre-Series A,3000000.0,New Delhi,2018,0
AI startup,Seed,300000.0,Bangalore,2018,0
Dairy startup,Series C,25000000.0,Haryana,2015,0
Content management,Series A,3500000.0,Bangalore,2014,0
Retail,Series E,200000000.0,Haryana,2015,0
Spacetech,Seed,125171163.09181623,Bangalore,2017,0
HealthTech,Bridge,125171163.09181623,New Delhi,2018,0
Transportation,Series A,7000000.0,Mumbai,2015,0
Trading platform,Seed,200000.0,Mumbai,2019,0
FinTech,Pre-Series A,3000000.0,Gurugram,2018,0
Tech company,Seed,125171163.09181623,Kerala,2014,0
FinTech,Pre-Series A,300000.0,Gurugram,2019,0
AI Company,Series A,6000000.0,Gurugram,2015,0
Tech company,Seed,1000000.0,Mumbai,2008,0
Photonics startup,Seed,125171163.09181623,Bangalore,2019,0
FinTech,Pre-Series A,125171163.09181623,Gurugram,2020,0
EdTech,Seed,125171163.09181623,Bangalore,2015,0
EdTech,Pre-Series A,1300000.0,Gurugram,2020,0
HealthTech,Seed,4100000.0,Bangalore,2019,0
Entertainment,Seed,1000000.0,Indore,2019,0
Cosmetics,Seed,125171163.09181623,Mumbai,2012,0
Scanning app,Seed,575000.0,Bangalore,2020,0
FinTech,Seed,1000000.0,Bangalore,2017,0
Skincare startup,Seed,125171163.09181623,Gurugram,2018,0
EdTech,Seed,200000000.0,Bangalore,2011,1
E-commerce,Seed,6000000.0,Bangalore,2018,0
Food and Beverages,Series C,25000000.0,Haryana,2015,0
AI startup,Seed,800000.0,Hyderabad,2018,0
EdTech,Seed,300000.0,Bangalore,2018,0
Biotechnology company,Seed,600000.0,Jodhpur,2015,0
AI startup,Pre-Series A,1000000.0,Bangalore,2018,0
Gaming startup,Series A,3000000.0,Mumbai,2015,0
FinTech,Seed,125171163.09181623,Bangalore,2012,0
HealthTech,Seed,30000000.0,Mumbai,2015,0
E-commerce,Pre-Series A,1000000.0,New Delhi,2017,0
Gaming startup,Seed,5000000.0,Bangalore,2018,0
FinTech,Seed,28000000.0,Gurugram,2014,0
FoodTech,Pre-Series A,125171163.09181623,Mumbai,2020,0
Proptech,Pre-Series A,125171163.09181623,New Delhi,2019,0
HealthTech,Seed,100000.0,Chennai,2019,0
CleanTech,Series C,18000000.0,Ahmedabad,2006,0
SaaS startup,Seed,3200000.0,Gurugram,2013,0
HealthTech,Pre-Series A,125171163.09181623,Bangalore,2014,0
Tech Startup,Seed,125171163.09181623,Bangalore,2016,0
SaaS platform,Debt Financing,100000000.0,Pune,2011,0
Biotechnology company,Seed,600000.0,Jodhpur,2015,0
FinTech,Debt Financing,5000000.0,Bangalore,2016,0
E-commerce,Seed,300000.0,Bangalore,2017,0
Fitness startup,Pre-Series A,125171163.09181623,Bangalore,2017,0
Cosmetics,Pre-Series A,125171163.09181623,Bangalore,2016,0
Venture capitalist,Seed,80000000.0,New Delhi,2019,0
FinTech,Seed,10000000.0,Mumbai,2016,0
Healthcare,Seed,15000000.0,Bangalore,1978,0
SaaS startup,Pre-Series A,800000.0,Gujarat,2013,0
E-commerce,Seed,100000000.0,Pune,2015,0
FinTech,Seed,125171163.09181623,Gurugram,2017,0
HealthTech,Seed,100000000.0,Mumbai,2008,0
AgriTech,Pre-Seed,500000.0,Gurugram,2019,0
PaaS startup,Seed,2000000.0,Bangalore,2020,0
Entertainment,Seed,400000.0,Mumbai,2020,0
EdTech,Seed,2000000.0,Bangalore,2013,0
Retail,Pre-Series A,900000.0,"Jaipur, Rajastan",2014,0
Beverages,Seed,250000.0,Delhi,2016,0
HealthTech,Seed,125171163.09181623,Kolkata,2010,0
EdTech,Seed,3200000.0,Bangalore,2016,0
E-commerce,Seed,10000000.0,Mumbai,2006,0
Social Media,Seed,125171163.09181623,"Frisco, Texas, United States",2019,0
Automobiles,Series D,35000000.0,Bangalore,2013,0
SaaS startup,Seed,2000000.0,Bangalore,2007,0
FinTech,Seed,4700000.0,New Delhi,2017,0
Fashion startup,Seed,125171163.09181623,Bangalore,2012,0
EdTech,Seed,125171163.09181623,Mumbai,2017,0
Food & Bevarages,Pre-Series A,1500000.0,Indore,2016,0
Deeptech,Seed,125171163.09181623,Bangalore,2016,0
EV startup,Pre-Series A,3000000.0,Gujarat,2018,0
EdTech,Bridge,2000000.0,Gurugram,2008,0
EdTech,Debt Financing,75000000.0,California,2011,0
AR/VR startup,Bridge,1000000.0,Thane,2014,0
E-commerce,Pre-Series A,1200000.0,Bangalore,2019,0
Recruitment startup,Seed,1000000.0,Hyderabad,2018,0
HealthTech,Seed,125171163.09181623,Mumbai,2016,0
QSR startup,Seed,2000000.0,Mumbai,2015,0
Video platform,Seed,125171163.09181623,Bangalore,2020,0
Food & Bevarages,Seed,800000.0,Mumbai,2016,0
EdTech,Seed,100000.0,"Dhingsara, Haryana",2018,0
EdTech,Seed,125171163.09181623,Mumbai,2019,0
AI startup,Seed,8000000.0,"New York, United States",2015,0
Logistics,Seed,1000000.0,Bangalore,2016,0
Gaming,Seed,300000.0,Mumbai,2020,0
AI startup,Seed,1000000.0,Bangalore,2017,0
Hospitality,Seed,1000000.0,Gurugram,2015,0
AgriTech,Pre-Series A,1000000.0,"Jaipur, Rajastan",2016,0
FinTech,Debt Financing,6000000.0,Mumbai,2016,0
AgriTech,Seed,125171163.09181623,Patna,2020,0
AgriTech,Pre-Series A,125171163.09181623,Pune,2017,0
E-commerce,Series C,121000000.0,Bangalore,2015,0
FinTech,Seed,4500000.0,Mumbai,2017,0
Transportation,Seed,5000000.0,Mumbai,2019,0
FinTech,Seed,55000000.0,"Jaipur, Rajastan",2016,0
Edtech,Seed,3500000.0,Bangalore,2020,0
E-commerce,Seed,3000000.0,Mumbai,2010,0
